LocalFans;Growth;Photos;Videos;Links;FansPosts;Reactions;Comments;Shares;UserQuestions;Brand_Asset_R
5991;5915;2;0;1;35;60;33;3;2;90.84451294
10808;3069;1;0;22;437;310;182;57;50;65.35122681
58016;17208;226;2;4;170;25268;3487;1230;18;86.42462158
41434;-612;347;0;0;0;13368;2997;784;0;50.59194946
641000;185919;1341;15;18;381;885138;14864;26404;73;85.79321289
1331234;-9609;144;42;2;426;772601;15149;94076;36;78.68981934
721714;213100;599;115;24;10954;65697;36144;10412;2562;79.79479218
315198;27115;360;19;3;545;172227;6451;25089;113;66.14048767
76643;18617;573;5;0;21;159967;2623;4577;2;34.25413895
352;287;630;11;1040;3;499;33;294;0;13.18074036
1849691;192480;323;37;1;672;1358422;29354;70476;124;93.37016296
122506;47832;374;2;0;258;106542;21991;4228;9;77.34806824
66031;17107;737;44;104;125;138179;1916;6960;17;50.4341011
43078;-1301;33;0;0;1;312;7;5;1;76.63773346
279227;-4556;217;67;6;35;27838;1550;1510;4;92.5809021
1692343;-17141;743;108;3;5824;422949;30733;47343;1265;77.90055084
1013;782;11;2;0;10;206;112;106;2;48.69770813
6148;28;1;0;0;22;53;41;7;1;67.16652679
3243;80;151;1;13;0;731;30;318;0;8.208366394
19386;4672;328;4;316;614;4263;1069;3247;58;14.52248955
111514;46568;2657;118;8462;269;161198;13043;34996;46;28.41357994
1147164;476675;647;55;80;5989;1107118;116033;21739;1458;91.71270752
