"","RespNum","Patrimonio","Tarifa","SinAsesor","Tecnologia","Web","TEnlinea","APresencial","AEnlinea","Celular","Clust_Cer","Clust_Lej","Clust_Med","Clust_Ward","Clust_KMeans","Cluster_5"
"1",12,8,5,10,7,6,7,10,6,6,"2","2","2","2","4","2"
"2",13,7,10,10,10,10,10,1,10,10,"3","3","3","3","5","5"
"3",13,8,9,9,9,6,9,3,9,9,"3","3","3","3","5","5"
"4",15,8,5,1,10,10,1,3,1,10,"1","1","1","1","3","3"
"5",16,3,6,5,8,6,4,2,2,6,"1","1","1","1","4","1"
"6",17,4,10,10,9,4,10,10,4,10,"3","3","3","3","5","5"
"7",18,7,5,2,5,8,7,10,1,6,"1","1","1","1","3","3"
"8",18,5,1,10,10,10,10,1,10,10,"2","2","2","2","2","4"
"9",19,4,1,4,6,2,10,10,4,4,"1","1","1","1","1","1"
"10",20,6,8,8,6,10,10,8,3,10,"3","3","3","3","5","3"
"11",20,8,8,8,8,10,8,8,1,10,"2","2","2","2","4","3"
"12",20,7,3,7,7,8,9,8,5,7,"2","2","2","2","2","2"
"13",20,3,5,1,2,9,2,5,4,5,"1","1","1","1","1","1"
"14",21,7,8,2,6,10,5,8,2,6,"1","1","1","1","3","3"
"15",21,6,8,1,10,10,5,5,8,5,"1","1","1","1","3","3"
"16",22,8,2,7,9,8,3,3,6,2,"1","1","1","1","4","1"
"17",23,4,10,8,8,8,9,8,6,8,"3","3","3","3","5","5"
"18",23,5,9,9,3,9,4,10,1,1,"1","1","1","1","4","3"
"19",24,3,3,3,9,9,8,6,8,3,"2","2","2","2","4","4"
"20",24,4,1,10,10,10,10,7,7,10,"2","2","2","2","2","4"
"21",24,5,5,8,10,4,10,5,4,5,"2","2","2","2","4","2"
"22",25,8,3,8,4,3,2,3,3,3,"1","1","1","1","1","1"
"23",25,5,3,2,7,7,10,7,5,5,"2","2","2","2","4","2"
"24",26,5,8,9,10,10,8,10,8,10,"3","3","3","3","5","5"
"25",26,3,1,2,6,2,8,2,2,1,"1","1","1","1","1","1"
"26",27,7,2,3,8,10,9,5,9,5,"2","2","2","2","2","4"
"27",28,6,7,6,9,7,8,6,4,7,"2","2","2","2","4","3"
"28",29,6,1,10,5,7,10,1,1,1,"2","2","2","2","4","2"
"29",30,7,8,8,9,9,10,9,6,9,"3","3","3","3","5","5"
"30",30,5,7,5,9,8,9,5,8,7,"2","2","2","2","4","4"
"31",31,5,8,8,10,9,9,3,9,10,"3","3","3","3","5","4"
"32",31,3,8,2,9,2,2,2,2,2,"1","1","1","1","1","1"
"33",33,6,3,9,10,5,7,9,5,5,"2","2","2","2","4","2"
"34",33,6,8,10,8,8,8,7,9,6,"3","3","3","3","5","5"
"35",34,8,1,10,10,9,10,6,9,10,"2","2","2","2","2","4"
"36",34,4,1,10,10,10,10,1,1,10,"2","2","2","2","2","2"
"37",35,3,2,9,8,8,7,9,8,9,"2","2","2","2","2","4"
"38",35,8,10,3,10,7,8,10,5,7,"3","3","3","3","5","3"
"39",35,6,8,4,7,10,9,9,4,10,"3","3","3","3","3","3"
"40",36,5,3,8,9,5,10,5,5,9,"2","2","2","2","2","2"
"41",36,4,4,10,10,10,8,8,5,10,"2","2","2","2","2","2"
"42",37,8,3,10,9,9,9,8,1,10,"2","2","2","2","2","2"
"43",37,6,2,2,6,6,9,2,1,5,"1","1","1","1","1","1"
"44",38,6,9,4,7,9,9,8,3,6,"2","2","2","2","4","3"
"45",38,8,5,10,9,10,9,5,4,7,"2","2","2","2","2","2"
"46",39,5,6,5,9,8,8,8,8,8,"3","3","3","3","5","4"
"47",39,4,8,6,10,10,7,7,9,10,"3","3","3","3","5","5"
"48",40,7,7,9,9,8,7,8,4,9,"3","3","3","3","5","3"
"49",40,3,9,7,8,9,9,2,9,9,"3","3","3","3","5","4"
"50",40,5,1,5,10,10,6,1,8,7,"2","2","2","2","2","4"
"51",41,8,5,9,8,10,10,7,1,10,"2","2","2","2","2","2"
"52",41,4,9,8,8,8,7,7,8,7,"3","3","3","3","5","5"
"53",41,6,1,9,5,10,10,10,1,5,"2","2","2","2","2","2"
"54",41,6,3,8,10,10,10,6,10,10,"2","2","2","2","2","4"
"55",42,3,5,8,8,8,7,9,7,9,"2","2","2","2","2","5"
"56",43,8,1,10,9,7,10,1,10,1,"2","2","2","2","2","4"
"57",44,6,4,7,10,8,10,2,8,10,"2","2","2","2","2","4"
"58",45,3,2,8,8,8,9,5,6,5,"2","2","2","2","2","2"
"59",46,5,10,8,10,10,1,1,1,10,"2","2","2","2","3","3"
"60",46,8,6,10,5,10,10,5,1,10,"2","2","2","2","2","2"
"61",47,8,10,10,10,10,8,5,5,10,"3","3","3","3","5","5"
"62",48,7,5,10,10,10,10,7,5,2,"2","2","2","2","4","2"
"63",50,3,1,2,1,2,6,2,2,1,"1","1","1","1","1","1"
"64",51,5,1,10,9,9,10,2,2,5,"2","2","2","2","2","2"
"65",51,8,10,10,10,10,10,10,10,10,"3","3","3","3","5","5"
"66",52,8,6,7,7,5,4,6,3,6,"1","1","1","1","4","3"
"67",52,7,4,8,8,9,6,7,4,9,"2","2","2","2","2","2"
"68",54,4,8,7,5,9,7,9,2,6,"1","1","1","1","4","3"
"69",55,5,6,8,8,8,8,7,5,8,"2","2","2","2","4","2"
"70",55,8,10,10,8,10,7,5,7,7,"3","3","3","3","5","5"
"71",56,3,1,1,10,10,1,1,6,10,"1","1","1","1","3","4"
"72",56,8,7,6,8,7,4,2,1,5,"1","1","1","1","4","3"
"73",58,5,8,10,10,9,10,1,10,7,"3","3","3","3","5","4"
"74",58,7,7,10,10,7,10,3,4,10,"2","2","2","2","2","4"
"75",59,3,4,6,7,10,7,6,5,10,"2","2","2","2","2","2"
"76",60,5,8,5,5,5,5,2,5,5,"1","1","1","1","4","1"
"77",60,5,2,3,7,5,5,9,3,4,"1","1","1","1","1","1"
"78",61,3,8,9,8,7,7,8,8,9,"3","3","3","3","5","5"
"79",63,7,10,10,10,10,10,10,5,10,"3","3","3","3","5","5"
"80",63,8,10,8,10,8,10,8,10,8,"3","3","3","3","5","5"
"81",63,3,1,6,8,9,8,1,5,8,"2","2","2","2","2","4"
"82",65,4,2,10,10,10,10,10,3,10,"2","2","2","2","2","2"
"83",65,6,10,10,1,1,10,10,10,10,"3","3","3","3","5","5"
"84",66,7,2,8,7,8,8,7,8,7,"2","2","2","2","2","4"
"85",66,4,1,1,1,5,1,10,1,1,"1","1","1","1","1","1"
"86",67,8,7,8,7,7,7,5,5,5,"2","2","2","2","4","3"
"87",68,5,1,4,10,9,7,7,7,6,"2","2","2","2","2","2"
"88",68,3,9,4,10,10,9,3,10,10,"3","3","3","3","5","4"
"89",70,5,7,4,2,6,2,4,1,8,"1","1","1","1","1","1"
"90",70,5,8,8,9,9,10,7,7,10,"3","3","3","3","5","5"
"91",71,3,2,2,10,10,10,9,2,5,"2","2","2","2","3","2"
"92",71,5,4,4,3,4,4,4,4,3,"1","1","1","1","1","1"
"93",72,5,10,9,8,9,10,8,7,7,"3","3","3","3","5","5"
"94",75,5,1,3,5,4,2,9,5,9,"1","1","1","1","1","1"
"95",76,5,1,1,5,8,3,10,1,8,"1","1","1","1","3","1"
"96",77,4,2,10,10,9,10,4,10,10,"2","2","2","2","2","4"
"97",78,8,5,7,6,6,9,7,5,7,"2","2","2","2","4","2"
"98",79,5,1,1,10,5,1,7,5,10,"1","1","1","1","3","1"
"99",80,5,10,10,10,10,9,8,10,10,"3","3","3","3","5","5"
"100",81,8,8,9,6,7,8,5,1,8,"2","2","2","2","4","3"
"101",81,6,1,7,5,4,2,3,7,3,"1","1","1","1","1","1"
"102",82,3,7,5,8,7,10,10,1,9,"2","2","2","2","3","3"
"103",82,4,9,7,10,10,10,1,9,5,"3","3","3","3","5","4"
"104",83,7,10,10,10,9,7,8,7,9,"3","3","3","3","5","5"
"105",83,4,5,10,9,8,9,2,3,3,"2","2","2","2","4","2"
"106",83,5,1,2,4,5,5,3,1,5,"1","1","1","1","1","1"
"107",83,5,4,4,4,5,4,3,3,5,"1","1","1","1","1","1"
"108",84,7,5,7,9,8,7,8,7,9,"2","2","2","2","2","4"
"109",87,5,10,10,8,10,9,9,5,10,"3","3","3","3","5","5"
"110",88,8,6,7,10,8,8,10,5,10,"3","3","3","3","5","3"
"111",89,4,2,9,9,6,8,4,3,6,"2","2","2","2","2","2"
"112",90,8,8,9,8,4,8,6,3,4,"2","2","2","2","4","3"
"113",91,8,8,7,9,9,8,1,10,10,"3","3","3","3","5","4"
"114",91,4,3,3,2,8,2,7,2,5,"1","1","1","1","1","1"
"115",93,5,8,1,1,1,1,10,1,1,"1","1","1","1","1","1"
"116",94,7,10,7,10,8,6,10,3,8,"3","3","3","3","5","3"
"117",94,6,8,7,7,6,8,9,8,9,"3","3","3","3","5","5"
"118",95,6,10,1,10,4,10,10,1,2,"1","1","1","1","4","3"
"119",95,8,9,9,9,9,10,10,7,9,"3","3","3","3","5","5"
"120",96,6,4,3,9,9,9,6,6,9,"2","2","2","2","3","4"
"121",96,4,8,8,8,9,9,7,9,9,"3","3","3","3","5","5"
"122",97,3,2,6,3,6,7,6,6,6,"1","1","1","1","1","1"
"123",97,5,7,1,1,2,2,10,2,3,"1","1","1","1","1","1"
"124",99,7,10,10,10,10,10,9,10,10,"3","3","3","3","5","5"
"125",99,6,3,5,5,8,5,8,3,2,"1","1","1","1","1","1"
"126",99,8,2,10,10,10,10,2,8,10,"2","2","2","2","2","4"
"127",100,8,9,5,9,8,8,4,6,3,"2","2","2","2","4","3"
"128",101,6,3,3,3,4,9,10,2,3,"1","1","1","1","1","1"
"129",102,4,10,9,10,9,10,9,10,9,"3","3","3","3","5","5"
"130",105,5,1,1,1,6,1,9,1,3,"1","1","1","1","1","1"
"131",105,4,1,10,10,10,10,10,10,10,"2","2","2","2","2","4"
"132",107,5,2,9,10,10,10,7,2,9,"2","2","2","2","2","2"
"133",108,3,5,5,9,8,9,5,5,8,"2","2","2","2","2","2"
"134",108,5,4,5,6,7,6,5,5,4,"1","1","1","1","4","1"
"135",110,4,10,1,3,10,1,10,1,10,"1","1","1","1","3","3"
"136",110,4,9,9,1,2,6,4,10,7,"1","1","1","1","4","1"
"137",112,5,9,9,10,10,9,9,9,10,"3","3","3","3","5","5"
"138",112,5,6,5,8,6,9,9,7,6,"2","2","2","2","4","3"
"139",114,7,2,2,8,10,8,7,3,3,"1","1","1","1","3","2"
"140",115,5,1,7,10,9,10,7,5,10,"2","2","2","2","2","2"
"141",116,5,7,9,8,8,10,7,1,10,"2","2","2","2","2","2"
"142",116,4,10,10,10,10,10,10,10,8,"3","3","3","3","5","5"
"143",117,5,3,5,8,3,7,3,7,2,"1","1","1","1","4","1"
"144",118,4,8,4,7,7,4,7,2,2,"1","1","1","1","4","1"
"145",119,3,6,7,7,8,5,5,8,7,"2","2","2","2","4","4"
"146",119,8,6,9,10,10,10,1,8,10,"2","2","2","2","2","4"
"147",120,5,10,9,10,9,9,10,9,10,"3","3","3","3","5","5"
"148",120,8,8,7,8,8,8,1,7,8,"2","2","2","2","4","4"
"149",122,3,10,10,10,8,9,8,10,8,"3","3","3","3","5","5"
"150",122,5,9,7,9,9,8,8,7,9,"3","3","3","3","5","5"
"151",123,5,1,10,1,1,1,10,1,1,"1","1","1","1","1","1"
"152",126,4,5,8,8,6,9,3,3,3,"2","2","2","2","4","2"
"153",128,3,1,2,9,10,4,3,9,5,"2","2","2","2","3","4"
"154",128,7,10,5,3,7,2,5,2,3,"1","1","1","1","1","1"
"155",131,3,10,10,9,9,9,8,10,9,"3","3","3","3","5","5"
"156",132,3,7,10,6,8,9,10,9,10,"3","3","3","3","5","5"
"157",132,6,9,8,10,9,10,8,9,8,"3","3","3","3","5","5"
"158",134,3,7,9,7,8,7,4,6,5,"2","2","2","2","4","4"
"159",135,8,10,5,10,10,6,5,5,6,"3","3","3","3","4","3"
"160",135,6,9,9,9,10,10,8,10,10,"3","3","3","3","5","5"
"161",135,5,1,1,2,3,2,2,3,10,"1","1","1","1","1","1"
"162",136,3,8,5,8,8,8,8,5,7,"3","3","3","3","4","3"
"163",137,5,4,9,8,9,9,6,6,8,"2","2","2","2","2","2"
"164",137,3,7,10,10,10,10,8,6,10,"3","3","3","3","5","5"
"165",138,5,5,8,8,8,8,6,5,6,"2","2","2","2","4","2"
"166",138,3,8,10,10,7,9,10,10,10,"3","3","3","3","5","5"
"167",140,3,5,6,9,8,9,6,9,7,"2","2","2","2","2","4"
"168",143,5,1,1,2,2,10,10,1,5,"1","1","1","1","1","1"
"169",143,4,2,9,10,7,5,1,5,5,"2","2","2","2","2","2"
"170",145,3,5,5,6,6,7,8,4,7,"1","1","1","1","4","3"
"171",146,4,1,1,4,7,4,2,6,1,"1","1","1","1","1","1"
"172",147,8,10,1,10,9,10,7,3,10,"3","3","3","3","3","3"
"173",148,3,10,10,10,10,10,10,10,10,"3","3","3","3","5","5"
"174",149,3,9,9,10,10,10,10,9,9,"3","3","3","3","5","5"
"175",150,5,9,6,7,7,6,10,8,7,"3","3","3","3","5","3"
"176",150,3,5,5,10,10,10,10,1,10,"2","2","2","2","3","2"
"177",151,3,8,9,9,9,8,7,7,5,"3","3","3","3","5","5"
"178",151,3,8,10,6,10,10,9,9,8,"3","3","3","3","5","5"
"179",152,6,5,8,8,9,8,10,5,10,"2","2","2","2","2","2"
"180",152,3,5,7,7,6,6,3,7,8,"2","2","2","2","4","4"
"181",153,3,8,10,10,9,9,10,9,9,"3","3","3","3","5","5"
"182",154,4,7,7,9,7,9,5,7,9,"2","2","2","2","5","4"
"183",156,3,9,9,8,9,8,9,10,9,"3","3","3","3","5","5"
"184",158,6,10,9,10,9,10,9,9,9,"3","3","3","3","5","5"
"185",158,8,10,7,10,7,7,5,5,5,"3","3","3","3","4","3"
"186",161,6,5,2,9,8,3,2,3,5,"1","1","1","1","3","1"
"187",161,5,3,8,10,10,10,7,9,10,"2","2","2","2","2","4"
"188",161,5,8,9,10,9,5,9,10,10,"3","3","3","3","5","5"
"189",162,6,10,1,10,10,10,10,6,10,"3","3","3","3","5","3"
"190",162,5,5,5,5,5,6,8,1,10,"1","1","1","1","3","3"
"191",164,3,9,1,10,10,10,8,1,10,"2","2","2","2","3","3"
"192",164,5,1,10,10,10,10,1,5,10,"2","2","2","2","2","4"
"193",167,6,8,8,10,9,10,7,6,9,"3","3","3","3","5","5"
"194",171,6,8,1,1,1,1,8,1,1,"1","1","1","1","1","1"
"195",171,5,1,1,1,1,5,10,10,1,"1","1","1","1","1","1"
"196",171,7,6,9,9,9,8,7,7,9,"3","3","3","3","5","5"
"197",172,5,9,10,10,10,10,4,4,10,"3","3","3","3","5","5"
"198",172,4,7,5,6,10,9,7,5,7,"2","2","2","2","4","3"
"199",173,3,2,4,7,6,3,5,2,9,"1","1","1","1","3","1"
"200",174,4,1,3,5,10,4,10,5,5,"1","1","1","1","3","1"
"201",175,5,7,2,9,5,9,7,2,5,"1","1","1","1","4","3"
"202",178,3,1,6,10,10,9,4,1,10,"2","2","2","2","2","2"
"203",181,5,2,4,5,8,8,6,2,6,"1","1","1","1","3","2"
"204",182,4,9,9,9,8,9,10,8,9,"3","3","3","3","5","5"
"205",182,3,7,7,9,7,8,4,8,6,"2","2","2","2","4","4"
"206",184,4,9,9,10,9,8,8,10,10,"3","3","3","3","5","5"
"207",186,4,10,9,10,10,9,10,10,10,"3","3","3","3","5","5"
"208",186,3,3,4,9,7,8,8,5,9,"2","2","2","2","3","2"
"209",189,3,4,6,9,9,5,7,6,5,"2","2","2","2","4","2"
"210",190,5,5,10,10,10,10,10,4,10,"3","3","3","3","2","5"
"211",190,3,3,1,5,9,1,10,5,9,"1","1","1","1","3","1"
"212",191,5,5,1,5,9,5,5,9,9,"1","1","1","1","3","3"
"213",192,3,1,7,1,10,7,7,5,10,"2","2","2","2","2","2"
"214",192,5,9,8,9,10,7,7,8,10,"3","3","3","3","5","5"
"215",192,3,6,7,9,8,9,4,10,10,"3","3","3","3","5","4"
"216",193,5,10,1,7,10,7,8,1,10,"1","1","1","1","3","3"
"217",194,5,10,10,10,10,10,8,10,10,"3","3","3","3","5","5"
"218",195,4,7,7,9,10,10,5,5,9,"2","2","2","2","2","4"
"219",197,7,8,9,9,10,10,10,10,10,"3","3","3","3","5","5"
"220",200,4,8,6,10,8,10,5,1,6,"2","2","2","2","4","3"
"221",202,5,5,5,7,4,4,5,4,4,"1","1","1","1","1","1"
"222",203,3,10,10,10,10,10,10,10,10,"3","3","3","3","5","5"
"223",204,5,5,7,9,9,9,8,9,8,"3","3","3","3","5","4"
"224",204,3,8,8,8,8,9,8,4,7,"3","3","3","3","4","3"
"225",206,5,9,8,5,7,8,4,1,7,"2","2","2","2","4","3"
"226",207,3,6,2,5,8,5,5,5,8,"1","1","1","1","3","3"
"227",207,6,9,9,9,9,6,7,7,8,"3","3","3","3","5","5"
"228",208,6,8,6,5,7,5,8,1,10,"1","1","1","1","3","3"
"229",210,5,1,9,8,7,9,5,1,1,"2","2","2","2","4","2"
"230",211,3,8,8,9,9,8,8,3,8,"3","3","3","3","4","3"
"231",212,3,7,8,10,9,10,7,7,10,"3","3","3","3","5","5"
"232",212,8,7,8,7,9,9,8,5,8,"3","3","3","3","5","3"
"233",213,3,8,9,9,9,9,8,9,8,"3","3","3","3","5","5"
"234",214,3,9,10,9,8,10,3,6,10,"3","3","3","3","5","5"
"235",215,3,1,5,8,8,8,7,5,10,"2","2","2","2","2","2"
"236",215,5,6,5,5,10,9,10,1,10,"2","2","2","2","3","3"
"237",219,5,1,10,1,1,6,9,10,1,"1","1","1","1","1","1"
"238",221,5,5,6,10,9,7,9,10,9,"3","3","3","3","5","4"
"239",226,5,1,5,5,1,1,10,1,1,"1","1","1","1","1","1"
"240",229,3,6,2,7,8,5,7,1,6,"1","1","1","1","3","3"
"241",230,5,1,1,10,10,10,1,1,10,"2","2","2","2","3","2"
"242",232,7,1,10,10,10,10,4,8,10,"2","2","2","2","2","4"
"243",232,4,4,8,8,8,8,9,6,8,"2","2","2","2","2","2"
"244",235,3,1,8,9,9,9,8,2,8,"2","2","2","2","2","2"
"245",235,8,1,9,6,8,6,8,1,5,"2","2","2","2","4","2"
"246",236,4,7,10,10,10,10,9,10,8,"3","3","3","3","5","5"
"247",238,3,3,8,10,10,10,5,7,10,"2","2","2","2","2","4"
"248",239,6,6,9,9,6,9,3,7,6,"2","2","2","2","4","4"
"249",240,4,8,3,3,10,3,5,5,10,"1","1","1","1","3","3"
"250",242,5,9,9,7,8,7,8,7,7,"3","3","3","3","5","5"
"251",243,3,9,9,10,10,9,9,10,8,"3","3","3","3","5","5"
"252",244,4,10,10,10,10,10,10,10,10,"3","3","3","3","5","5"
"253",246,4,8,5,6,9,5,5,9,5,"1","1","1","1","4","3"
"254",249,4,10,2,8,10,1,1,1,8,"1","1","1","1","3","3"
"255",252,4,9,8,10,10,8,9,9,9,"3","3","3","3","5","5"
"256",255,7,7,7,4,5,10,2,8,1,"1","1","1","1","4","1"
"257",257,3,10,10,8,10,10,10,8,10,"3","3","3","3","5","5"
"258",257,6,8,2,10,10,1,9,10,10,"3","3","3","3","3","3"
"259",258,5,10,10,10,10,10,10,10,10,"3","3","3","3","5","5"
"260",259,8,8,9,9,8,9,9,9,10,"3","3","3","3","5","5"
"261",265,4,1,2,4,9,6,5,2,3,"1","1","1","1","1","1"
"262",269,3,9,6,10,10,8,6,6,10,"3","3","3","3","5","5"
"263",270,3,9,5,9,7,7,10,6,6,"3","3","3","3","4","3"
"264",276,3,8,5,8,8,9,8,7,6,"3","3","3","3","4","3"
"265",277,3,3,10,8,10,7,5,8,10,"2","2","2","2","2","4"
"266",279,6,8,6,9,8,9,4,5,3,"2","2","2","2","4","3"
"267",280,3,6,4,8,8,8,6,4,7,"2","2","2","2","3","3"
"268",283,5,9,10,10,10,10,8,9,10,"3","3","3","3","5","5"
"269",287,3,5,6,7,9,6,5,6,9,"2","2","2","2","3","4"
"270",287,8,7,7,8,7,8,10,6,7,"3","3","3","3","4","3"
"271",289,5,9,9,9,9,8,9,8,9,"3","3","3","3","5","5"
"272",290,3,7,6,4,6,8,4,6,4,"1","1","1","1","4","1"
"273",292,6,9,9,9,9,10,10,10,9,"3","3","3","3","5","5"
"274",293,4,10,1,10,10,10,1,8,10,"3","3","3","3","3","4"
"275",293,3,8,9,10,10,8,6,9,7,"3","3","3","3","5","5"
"276",295,4,6,5,9,9,9,2,5,10,"2","2","2","2","2","4"
"277",299,3,9,9,9,9,10,10,9,9,"3","3","3","3","5","5"
"278",302,6,8,8,9,8,9,9,9,9,"3","3","3","3","5","5"
"279",303,8,9,10,10,9,10,9,10,10,"3","3","3","3","5","5"
"280",310,4,1,8,10,10,6,7,10,10,"2","2","2","2","2","4"
"281",311,3,8,9,10,10,9,7,8,10,"3","3","3","3","5","5"
"282",315,4,8,6,9,6,5,3,2,1,"1","1","1","1","4","1"
"283",316,3,6,7,8,9,10,7,8,4,"2","2","2","2","4","4"
"284",319,3,5,3,5,10,3,10,10,10,"1","1","1","1","3","3"
"285",331,3,8,7,9,9,7,4,9,9,"3","3","3","3","5","4"
"286",332,4,8,8,2,10,6,7,4,10,"3","3","3","3","3","3"
"287",334,4,1,1,3,5,1,8,1,3,"1","1","1","1","1","1"
"288",337,4,8,3,10,10,9,3,5,5,"2","2","2","2","4","3"
"289",337,3,10,3,1,4,1,3,1,2,"1","1","1","1","1","1"
"290",338,3,3,3,5,3,3,5,5,9,"1","1","1","1","1","1"
"291",339,5,5,7,10,10,10,5,10,1,"2","2","2","2","4","4"
"292",341,3,3,7,8,9,9,4,4,4,"2","2","2","2","4","2"
"293",342,3,7,7,6,7,7,7,7,5,"2","2","2","2","4","3"
"294",343,5,8,7,8,8,7,7,9,9,"3","3","3","3","5","5"
"295",345,4,7,9,10,9,7,8,9,8,"3","3","3","3","5","5"
"296",347,7,3,8,10,9,9,3,9,10,"2","2","2","2","2","4"
"297",347,3,1,3,6,10,5,5,6,10,"2","2","2","2","3","4"
"298",351,3,5,5,5,5,5,5,5,5,"1","1","1","1","1","1"
"299",354,4,9,8,9,8,8,7,9,9,"3","3","3","3","5","5"
"300",359,5,1,9,9,9,9,9,9,8,"2","2","2","2","2","4"
"301",361,5,6,7,9,8,10,6,5,8,"2","2","2","2","2","2"
"302",362,8,5,8,8,6,8,5,2,4,"2","2","2","2","4","2"
