ID_Ejecutivo,ID_Último_Jefe,Sexo,Fuga,Negocio,Edad,MesesServicio,NoSupervisores,Máx.MesesSup,Min.MesesSup,CumpliProm,SalarioFijoProm,SalarioVarMandProm,SalarioVarVolProm,SalarioTotalProm,ProporSalarioFijoProm,PropMesesBajoSalProm,PropMesesBajoCumpliProm,PropMesesNoCumple,SalarioFijoPromJefe,SalarioVarMandPromJefe,SalarioVarVolPromJefe,SalarioTotalPromJefe,ProporSalarioFijoPromJefe,TotalEjecuJefe,PromPropMesesNoCumpleEjecJefe,CumpliPromEjecutJefe,PropEjecuFugadosJefe
43772295,89666937,M,SI,Voluntario,77,13,2,10,3,0.7,371974,0,1069834,1441808,0.6,0.69,0.77,0.31,1428688,0,1661724,3090411,0.58,22,0.29,0.54,0.73
44677148,126080859,,SI,Voluntario,,3,1,3,3,0.09,280000,0,21022,301022,0.95,0.33,0.67,0.67,1243001,0,470567,1713568,0.73,6,0.79,0.05,1
50765776,85377876,,SI,Voluntario,,6,1,6,6,0.38,299320,0,460962,760283,0.64,0.67,0.67,0.17,1355662,0,1149550,2505212,0.63,11,0.48,0.28,0.73
56110526,89666937,F,SI,Voluntario,71,19,4,7,4,0.25,375589,0,306011,681600,0.78,0.89,0.74,0.42,1428688,0,1661724,3090411,0.58,22,0.29,0.54,0.73
58186740,111971749,,NO,Voluntario,,4,1,4,4,0.86,700000,0,756500,1456500,0.65,0.75,0.75,0,1457872,0,1884912,3342784,0.54,5,0.23,0.62,0.6
58929492,132827486,F,NO,Voluntario,62,13,1,13,13,1.08,465265,0,2292501,2757766,0.24,0.77,0.62,0.15,1350745,0,1684724,3035469,0.49,21,0.32,0.57,0.67
61068597,74808816,,SI,Mandatorio,,6,3,3,1,0.54,282656,68496,10000,361152,0.74,0.33,0.5,0.33,1984280,605217,0,2589497,0.79,12,0.28,0.55,0.75
61544445,94801788,,SI,Voluntario,,3,1,3,3,0.39,260555,0,416292,676847,0.59,0.67,0.67,0.67,1422885,0,1141700,2564584,0.63,14,0.63,0.31,0.86
62376392,83284579,F,SI,Voluntario,63,5,1,5,5,0.3,324333,0,448162,772495,0.52,0.6,0.4,0.4,1540297,0,852097,2392394,0.7,22,0.47,0.34,0.68
63020087,109388300,,SI,Mandatorio,,9,2,8,1,0.64,299884,415050,65413,780347,0.49,0.44,0.44,0.11,1144120,308872,0,1452992,0.78,6,0.42,0.39,0.33
63768669,119852323,,SI,Voluntario,,7,1,7,7,0.2,818068,0,1331448,2149516,0.36,0.43,0.57,0.43,2751960,0,2615154,5367115,0.52,5,0.26,0.96,0.6
63798002,153119791,M,SI,Voluntario,51,4,1,4,4,0.3,224584,0,0,224584,1,0.5,0.25,0.25,1508052,0,1441518,2949570,0.63,17,0.31,0.49,0.71
64887645,121484943,,NO,Voluntario,,3,1,3,3,2.1,700000,0,2866990,3566990,0.2,0.33,0.33,0,1345560,0,765638,2111198,0.71,18,0.3,0.58,0.61
65655144,128896406,F,NO,Voluntario,63,12,3,9,1,0.5,611956,0,832092,1444048,0.62,0.58,0.58,0.33,1503739,0,1367709,2871448,0.64,26,0.43,0.47,0.62
66104753,118347730,,SI,Voluntario,,3,1,3,3,0.27,303333,0,366667,670000,0.75,0.67,0.33,0,1355931,0,813538,2169469,0.68,20,0.43,0.33,0.8
66162826,132827486,F,SI,Voluntario,61,10,2,8,2,0.32,245000,0,219143,464143,0.62,0.7,0.5,0.3,1350745,0,1684724,3035469,0.49,21,0.32,0.57,0.67
66239225,107732845,M,NO,Mandatorio,65,16,1,16,16,1.02,370931,1470314,56687,1897933,0.39,0.5,0.56,0.13,1528618,1420000,0,2948618,0.52,24,0.13,1.14,0.54
66849767,153043833,M,NO,Voluntario,67,13,3,8,1,1.76,369760,0,2171284,2541044,0.24,0.77,0.69,0,1659600,0,1923548,3583148,0.55,1,0,1.76,0
006737097K,104714412,,SI,Mandatorio,,5,2,4,1,1.18,253995,746122,60617,1060734,0.36,0.6,0.6,0.4,1491056,2252287,0,3743343,0.46,30,0.2,0.99,0.57
68773415,118347730,,SI,Voluntario,,3,1,3,3,0.11,334445,0,49626,384071,0.9,0.67,0.67,0.67,1355931,0,813538,2169469,0.68,20,0.43,0.33,0.8
68846021,107732845,M,SI,Mandatorio,61,4,1,4,4,0.52,239525,175823,23624,438972,0.51,0.5,0.75,0.5,1528618,1420000,0,2948618,0.52,24,0.13,1.14,0.54
69206050,89666937,F,NO,Voluntario,65,14,1,14,14,0.91,580128,0,2248366,2828494,0.28,0.5,0.43,0.07,1428688,0,1661724,3090411,0.58,22,0.29,0.54,0.73
69723152,83284579,F,SI,Voluntario,62,22,3,15,1,0.32,574537,0,1166826,1741364,0.39,0.59,0.59,0.45,1540297,0,852097,2392394,0.7,22,0.47,0.34,0.68
70097869,128304177,,SI,Voluntario,,6,1,6,6,0.06,440060,0,25187,465248,0.95,0.67,0.5,0.83,1461527,0,610416,2071944,0.74,15,0.52,0.39,0.53
70103907,104714412,,SI,Mandatorio,,10,1,10,10,1.19,275305,945851,194092,1415248,0.25,0.4,0.6,0.2,1491056,2252287,0,3743343,0.46,30,0.2,0.99,0.57
70110482,128896406,,SI,Voluntario,,4,2,3,1,0.43,344167,0,1193277,1537444,0.42,0.5,0.75,0,1503739,0,1367709,2871448,0.64,26,0.43,0.47,0.62
70156040,81120714,,SI,Mandatorio,,6,2,5,1,1.14,281551,893760,66026,1241337,0.31,0.33,0.33,0.17,810767,2886690,0,3697457,0.23,20,0.06,0.91,0.55
70308665,013551439K,,SI,Mandatorio,,6,2,5,1,0.35,325481,194313,6807,526602,0.7,0.67,0.5,0.33,1189709,2018462,0,3208171,0.44,39,0.16,0.69,0.59
70326760,180201661,F,NO,Voluntario,55,18,2,12,6,2.34,987840,0,3950198,4938039,0.23,0.67,0.61,0,1433878,0,2418300,3852178,0.45,15,0.3,0.91,0.67
70330172,132827486,,NO,Voluntario,,3,1,3,3,1.37,1000000,0,3615020,4615020,0.23,0.67,0.33,0,1350745,0,1684724,3035469,0.49,21,0.32,0.57,0.67
70339579,94801788,M,SI,Voluntario,62,8,1,8,8,0.73,364111,0,3047529,3411639,0.21,0.88,0.88,0.5,1422885,0,1141700,2564584,0.63,14,0.63,0.31,0.86
007043962K,132827486,F,NO,Voluntario,61,13,1,13,13,1.27,464368,0,2062380,2526748,0.27,0.62,0.46,0.15,1350745,0,1684724,3035469,0.49,21,0.32,0.57,0.67
70440717,89666937,F,SI,Voluntario,60,3,1,3,3,0.66,229444,0,797025,1026469,0.42,0.33,0.67,0.33,1428688,0,1661724,3090411,0.58,22,0.29,0.54,0.73
70807491,121484943,F,SI,Voluntario,57,7,2,5,2,0.18,307303,0,56490,363793,0.8,0.86,0.43,0.29,1345560,0,765638,2111198,0.71,18,0.3,0.58,0.61
70892189,160183098,F,SI,Mandatorio,59,9,2,5,4,0.51,350481,348777,30494,729752,0.62,0.67,0.56,0.33,1360000,792318,0,2152318,0.73,14,0.41,0.65,0.29
71094995,121484943,F,NO,Voluntario,59,14,2,12,2,1.06,455920,0,1543776,1999696,0.35,0.57,0.5,0.07,1345560,0,765638,2111198,0.71,18,0.3,0.58,0.61
71387712,153119791,F,SI,Voluntario,58,16,2,13,3,0.45,447705,0,2707354,3155059,0.31,0.5,0.5,0.38,1508052,0,1441518,2949570,0.63,17,0.31,0.49,0.71
71695514,111971749,M,NO,Voluntario,58,25,1,25,25,1.28,502477,0,3335120,3837596,0.24,0.56,0.64,0,1457872,0,1884912,3342784,0.54,5,0.23,0.62,0.6
71880028,70526034,F,SI,Voluntario,54,13,2,10,3,0.29,334687,0,385140,719827,0.68,0.69,0.54,0.23,,,,,,9,0.37,0.56,0.33
72347285,85196677,,SI,Voluntario,,2,2,1,1,0,169166,0,0,169166,1,0.5,0,1,1300183,0,727241,2027424,0.66,9,0.77,0.29,0.56
72547993,012852066K,,SI,Mandatorio,,4,2,3,1,0.5,274107,163848,1989,439943,0.59,0.75,0.75,0.5,1398546,1782728,0,3181274,0.54,22,0.26,0.9,0.45
73125626,012852066K,F,NO,Mandatorio,65,12,1,12,12,1,349586,798415,58659,1206660,0.53,0.58,0.33,0.17,1398546,1782728,0,3181274,0.54,22,0.26,0.9,0.45
73175879,94726468,M,NO,Mandatorio,64,20,2,15,5,0.66,297356,995546,17099,1310000,0.38,0.5,0.5,0.45,1480766,754817,809,2236392,0.75,28,0.48,0.61,0.5
74199135,106912122,M,SI,Mandatorio,60,5,1,5,5,0.72,332543,682570,25707,1040820,0.55,0.6,0.6,0.2,1408105,722679,0,2130784,0.73,15,0.21,0.96,0.2
74222250,130716911,F,NO,Voluntario,59,17,3,14,1,0.7,352222,0,1086712,1438934,0.35,0.65,0.65,0.12,1500000,0,1400000,2900000,0.52,4,0.5,0.42,0.25
74382797,85196677,,SI,Voluntario,,8,3,6,1,0.13,282917,0,237740,520656,0.6,0.5,0.75,0.75,1300183,0,727241,2027424,0.66,9,0.77,0.29,0.56
74468373,118897102,,SI,Voluntario,,3,1,3,3,0.39,350000,0,669667,1019667,0.58,0.67,0.33,0,1373955,0,1204337,2578292,0.63,23,0.36,0.44,0.52
007533009K,94600480,F,NO,Voluntario,60,21,1,21,21,0.57,354006,0,674964,1028970,0.49,0.71,0.81,0.19,1319661,0,1078781,2398441,0.61,5,0.37,0.44,0.6
75789149,94726468,F,NO,Mandatorio,58,16,1,16,16,0.51,375942,373420,29717,779079,0.57,0.5,0.44,0.25,1480766,754817,809,2236392,0.75,28,0.48,0.61,0.5
76448493,102168038,,NO,Voluntario,,4,1,4,4,1.72,303334,0,1670001,1973334,0.45,0.5,0.5,0,1609600,0,1792240,3401840,0.55,2,0.5,0.86,0
76570280,94801133,M,NO,Voluntario,55,10,1,10,10,0.93,660847,0,2231861,2892707,0.36,0.6,0.6,0.2,1447558,0,1199943,2647501,0.64,12,0.42,0.4,0.5
76626952,89666937,M,SI,Voluntario,63,7,1,7,7,0.29,285479,0,135834,421313,0.67,0.57,0.57,0.14,1428688,0,1661724,3090411,0.58,22,0.29,0.54,0.73
76745552,012852066K,F,SI,Mandatorio,59,3,1,3,3,0.24,192439,49170,1874,243482,0.58,0.33,0.67,0.67,1398546,1782728,0,3181274,0.54,22,0.26,0.9,0.45
76757380,139269624,F,SI,Voluntario,61,11,1,11,11,0.7,276294,0,754171,1030464,0.48,0.55,0.55,0.09,1369965,0,340757,1710722,0.8,16,0.52,0.4,0.69
007688661K,85377876,,SI,Voluntario,,6,2,4,2,0.08,346111,0,114721,460832,0.87,0.83,0.67,0.67,1355662,0,1149550,2505212,0.63,11,0.48,0.28,0.73
76973105,77684387,,SI,Voluntario,,9,1,9,9,0.13,419576,0,130341,549917,0.78,0.44,0.56,0.56,1282224,0,644481,1926705,0.68,7,0.22,0.23,0.43
77124306,215869660,F,NO,Voluntario,56,17,1,17,17,0.39,452135,0,596521,1048656,0.56,0.65,0.82,0.82,1356823,0,355762,1712586,0.85,17,0.8,0.39,0.29
77369813,141261746,,SI,Mandatorio,,10,2,9,1,0.59,306385,446708,126050,879143,0.47,0.6,0.6,0.2,1202861,1818037,0,3020898,0.47,20,0.17,0.78,0.75
77706100,012852066K,F,NO,Mandatorio,47,16,1,16,16,1.15,323450,1313120,23891,1660461,0.39,0.5,0.38,0.19,1398546,1782728,0,3181274,0.54,22,0.26,0.9,0.45
78005335,91289555,,NO,Voluntario,,4,2,3,1,0.24,606667,0,45763,652429,0.94,0.25,0.25,0.25,1545177,0,857366,2402544,0.69,8,0.67,0.5,0.25
78026308,115944088,,SI,Mandatorio,,7,2,6,1,0.66,280280,429724,3835,713839,0.49,0.57,0.57,0.14,1372288,1730793,0,3103081,0.52,25,0.16,0.8,0.64
78067756,106667659,,SI,Mandatorio,,10,2,9,1,0.6,306385,366681,17988,691054,0.5,0.5,0.5,0.2,1462580,2168888,0,3631468,0.51,16,0.16,0.98,0.31
78267674,141104977,M,SI,Mandatorio,59,23,2,13,10,0.43,343896,349285,44655,737836,0.54,0.61,0.52,0.35,1407329,1494549,0,2901878,0.56,13,0.19,1.05,0.46
007826828K,130116221,,SI,Mandatorio,,6,2,4,2,0,205110,0,31852,236962,0.61,0.5,0,1,1340258,2084978,0,3425235,0.45,21,0.38,0.63,0.62
78695463,141289152,F,SI,Voluntario,59,18,3,14,1,0.31,686822,0,827569,1514391,0.5,0.44,0.78,0.61,1621128,0,304340,1925468,0.85,6,1,0.48,0.5
78806125,106912122,M,NO,Mandatorio,60,16,2,11,5,0.84,373926,776321,39325,1189572,0.47,0.56,0.5,0.06,1408105,722679,0,2130784,0.73,15,0.21,0.96,0.2
